id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4502661,Nice modern apartment in West!,10154967,Rouming,,De Baarsjes - Oud-West,52.36755872,4.850349517,Entire home/apt,89,4,8,17/08/2015,0.27,2,0
7357283,Nice apartment with Balcony & Jacuzzi,38546846,Frank,,De Baarsjes - Oud-West,52.37236493,4.850561721,Private room,85,2,6,02/01/2017,0.39,1,131
12049839,EasyLife,18788982,Giovanni,,De Baarsjes - Oud-West,52.36722001,4.870207423,Private room,80,1,0,,,1,0
16876655,Room near the city center,18202623,Arnaud,,De Baarsjes - Oud-West,52.37387964,4.861930953,Private room,70,2,2,26/03/2017,0.94,1,4
9292601,Modern,5020644,Jeroen,,De Baarsjes - Oud-West,52.37231186,4.850489945,Entire home/apt,110,1,22,20/03/2017,1.29,1,216
9880410,Spacious bedroom and livingroom,16838987,Lidwien,,De Baarsjes - Oud-West,52.36325539,4.877404341,Private room,130,1,0,,,3,0
11580852,Central located house with garden in Hip West area,60909308,Ernestine,,De Baarsjes - Oud-West,52.36571503,4.864126212,Entire home/apt,90,2,9,15/03/2017,0.71,1,12
13925388,"Cozy appartement in Amsterdam, vlakbij de metro",46171946,Gererd,,Bijlmer-Oost,52.31799576,4.979164019,Entire home/apt,55,2,38,20/03/2017,4.37,1,253
14117599,"Pop B&B - free parking, sauna, terraces canal view",36070529,Adriana,,Bijlmer-Oost,52.32154571,4.960180648,Private room,40,1,8,01/04/2017,1.7,1,340
7303805,Cozy room in the SE of Amsterdam,23023786,Robert,,Bijlmer-Oost,52.32211295,4.962641105,Private room,45,1,7,10/09/2015,0.34,2,0
14276081,Nice Studio next to the metro station,87067308,Renata,,Bijlmer-Oost,52.31754735,4.980948182,Entire home/apt,70,2,10,05/03/2017,1.3,1,9
13163805,Best cost benefit room near a metro station,35491461,Phillip,,Bijlmer-Oost,52.31563541,4.978166362,Private room,70,1,22,26/03/2017,2.24,1,24
15718431,"Max 5pple private room, 15mins to Centrum by metro",11046682,Luuly,,Bijlmer-Oost,52.32300471,4.976624504,Private room,30,1,2,10/02/2017,0.53,2,103
14967001,Arena Stadion BnB,94255410,Arenastadion,,Bijlmer-Oost,52.32323914,4.962712645,Private room,50,1,20,13/03/2017,3.05,1,134
16445806,Budget Apartment close to city center Amsterdam,107862516,Lars,,Bijlmer-Oost,52.32464559,4.97512837,Entire home/apt,70,3,0,,,1,63
15886823,Green oasis in Amsterdam for 2 or 1,47499392,Ingrid,,Bijlmer-Oost,52.32046543,4.986541824,Private room,40,1,2,16/03/2017,1.02,6,261
17446031,"2-bedroom apartment, 15mins to Ams Centre by metro",11046682,Luuly,,Bijlmer-Oost,52.32124796,4.978588037,Entire home/apt,142,1,0,,,2,80
16546301,"PRIVE Studio, AFAS, ZIGGOdm, ArenA",47501089,Mariah,,Bijlmer-Oost,52.31526767,4.982268691,Entire home/apt,69,1,11,15/03/2017,3.71,5,2
7303459,Cozy room in the SE of Amsterdam,23023786,Robert,,Bijlmer-Oost,52.32100584,4.961115221,Private room,42,3,2,23/07/2016,0.23,2,0
14967582,Amsterdam Zuidoost BnB,94260359,Amsterdam,,Bijlmer-Oost,52.32222508,4.964297763,Private room,50,1,16,22/01/2017,2.4,1,114
7627532,Open space Apartment 60m2,40012237,Max,,Bijlmer-Oost,52.32555562,4.977012657,Entire home/apt,99,4,5,01/02/2017,0.43,1,334
15753136,"Your second home in Amsterdam - visit ""The Pearl""!",101828420,Eric,,Bijlmer-Oost,52.32205696,4.981409644,Private room,59,1,11,26/03/2017,2.34,1,120
